"","BALLOT","NATEDUC","NATDRUG","NATCRIME","NATCITY","NATHEAL","NATENVIR","NATSPAC","POLVIEWS","NATRACE","NATARMS","NATAID","NATENRGY","NATSCI","NATCHLD","NATPARK","NATMASS","NATSOC","NATROAD","NATFARE","IF12WHO","VOTE12","CHILDS","DIVORCE","AGEWED","MARITAL","EVWORK","HRS1","WRKSTAT","ID_","AGE","EDUC","DEGREE","PARTYID","INCOME","HOMPOP","RACE","SEX","SPDEG","MADEG","PADEG","YEAR"
"107",3,1,2,1,1,1,1,2,4,1,1,3,3,2,1,2,2,1,2,1,0,1,0,0,0,5,1,-1,5,107,78,12,1,1,12,1,1,2,7,0,0,2016
"108",1,1,1,1,1,1,1,3,3,1,2,3,1,2,1,1,1,2,1,1,0,1,3,0,0,5,0,-1,4,108,52,12,1,0,9,1,1,2,7,0,7,2016
"109",1,1,1,1,2,1,1,2,4,2,2,2,2,2,2,2,1,1,1,1,3,2,0,0,0,5,1,-1,5,109,50,11,1,3,9,1,1,1,7,0,7,2016
"110",3,1,2,2,2,2,1,2,6,2,2,2,1,2,2,2,2,1,2,3,2,3,1,2,0,1,0,4,2,110,25,16,3,6,12,2,1,2,1,2,3,2016
"111",1,1,2,2,2,1,1,3,3,1,2,2,2,2,1,2,1,1,1,3,1,2,2,2,0,1,0,40,1,111,37,16,3,2,12,4,1,1,3,1,3,2016
"112",3,0,0,0,0,0,0,0,4,0,0,0,2,2,2,2,2,1,2,0,1,2,2,0,0,3,0,50,1,112,54,16,3,1,13,3,1,2,7,3,3,2016
"113",1,0,0,0,0,0,0,0,4,0,0,0,2,2,2,2,2,1,2,0,1,2,3,2,0,1,0,51,1,113,52,14,2,0,13,2,3,1,0,0,7,2016
"114",2,0,0,0,0,0,0,0,4,0,0,0,1,1,1,2,2,1,2,0,0,1,0,1,0,1,0,35,1,114,48,14,1,5,13,2,1,1,3,0,0,2016
"115",2,1,2,2,2,1,2,2,4,2,2,2,2,2,1,1,2,2,3,2,1,2,0,2,0,1,0,60,1,115,32,20,4,1,13,2,3,2,1,4,4,2016
"116",3,1,2,2,1,1,2,8,2,1,3,2,1,2,1,2,2,2,3,2,1,2,0,2,0,1,0,15,2,116,29,17,3,7,1,1,1,2,3,3,2,2016
"117",3,0,0,0,0,0,0,0,3,0,0,0,1,1,1,1,1,1,1,0,0,1,3,2,0,1,1,-1,5,117,75,19,3,1,12,3,1,2,4,1,1,2016
"118",2,1,1,1,1,1,1,3,1,1,1,3,1,1,1,2,1,1,1,2,0,1,0,2,0,1,0,45,1,118,59,19,4,2,13,2,1,2,2,0,0,2016
"119",3,1,2,2,2,1,1,2,4,2,2,2,1,1,1,2,1,1,3,2,0,1,2,2,0,1,1,-1,5,119,81,13,1,1,12,2,1,1,4,1,1,2016
"120",2,0,0,0,0,0,0,0,4,0,0,0,2,1,2,2,2,2,2,0,3,2,3,1,0,1,1,-1,5,120,69,12,1,5,13,2,1,2,1,0,0,2016
"121",1,1,2,1,1,1,1,1,3,2,2,3,1,2,8,1,1,2,2,3,0,1,2,2,0,1,0,40,1,121,55,18,4,1,13,4,1,2,4,1,7,2016
"122",3,0,0,0,0,0,0,0,4,0,0,0,2,8,3,2,3,1,1,0,0,1,0,0,0,5,0,20,2,122,52,15,1,4,12,1,1,2,7,0,7,2016
"123",3,3,2,2,2,3,1,1,7,2,2,2,1,1,1,1,2,2,2,3,0,1,1,0,0,5,0,25,2,123,33,16,3,7,13,2,1,2,7,1,1,2016
"124",1,2,1,2,1,1,2,3,4,1,2,3,2,2,1,1,2,1,2,2,2,2,2,0,0,3,0,40,1,124,56,12,1,5,13,3,1,1,-1,7,0,2016
"125",2,1,1,1,1,1,1,1,5,1,1,2,1,1,1,1,2,2,1,2,0,1,2,2,0,1,1,-1,5,125,71,16,4,3,12,2,1,1,4,1,8,2016
"126",2,0,0,0,0,0,0,0,4,0,0,0,1,1,2,2,1,1,2,0,2,3,0,0,0,5,2,-1,6,126,21,15,1,5,13,3,1,1,7,3,7,2016
"127",1,3,1,1,3,1,2,2,4,1,1,3,2,3,1,2,2,2,2,3,1,2,3,2,0,1,0,40,1,127,49,12,1,1,12,3,1,2,1,1,1,2016
"128",3,1,1,2,2,1,1,2,5,1,3,3,2,2,1,2,1,2,2,2,0,1,0,0,0,5,0,50,1,128,26,16,3,5,13,2,1,1,-1,3,3,2016
"129",2,0,0,0,0,0,0,0,2,0,0,0,1,2,1,2,1,1,1,0,0,1,0,0,0,5,0,40,1,129,33,16,3,0,12,1,1,2,7,4,3,2016
"130",1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,0,1,0,2,0,1,0,65,1,130,36,20,4,5,12,2,1,1,3,1,1,2016
"131",2,0,0,0,0,0,0,0,4,0,0,0,2,2,1,2,2,2,2,0,0,1,0,2,0,2,1,-1,5,131,68,12,1,0,12,1,2,1,7,0,7,2016
"132",1,1,1,1,1,1,1,2,6,1,1,1,1,1,1,1,2,1,2,1,0,1,2,0,0,5,0,40,1,132,27,16,2,1,12,1,2,2,7,2,7,2016
"133",3,1,1,1,2,1,2,2,4,1,2,2,2,2,1,1,2,1,2,1,0,1,1,0,0,5,1,-1,7,133,60,14,1,0,9,1,2,2,7,2,1,2016
"134",1,1,1,1,1,1,1,2,4,1,2,3,2,2,1,2,2,1,1,2,0,1,0,0,0,5,0,52,1,134,48,12,1,5,12,1,1,1,7,2,3,2016
"135",3,0,0,0,0,0,0,0,4,0,0,0,1,2,1,2,2,1,2,0,0,1,3,1,0,1,0,50,1,135,47,12,1,2,12,4,2,2,1,7,0,2016
"136",1,1,1,1,1,1,1,2,3,2,3,2,1,1,1,2,2,1,2,1,0,1,0,0,0,5,0,40,1,136,36,14,2,2,13,1,1,2,7,1,0,2016
"137",2,0,0,0,0,0,0,0,4,0,0,0,1,2,2,2,2,2,1,0,9,8,2,2,0,2,1,-1,5,137,89,12,1,1,10,1,1,2,7,8,8,2016
"138",3,0,0,0,0,0,0,0,6,0,0,0,1,1,1,2,1,1,1,0,1,2,2,0,0,4,1,-1,5,138,64,12,1,4,9,2,1,2,7,8,0,2016
"139",1,0,0,0,0,0,0,0,4,0,0,0,1,2,1,1,2,1,2,0,8,2,0,0,0,5,0,50,1,139,38,16,3,3,12,2,1,2,-1,1,2,2016
"140",3,1,1,1,1,1,1,2,5,3,1,3,1,1,1,1,3,1,1,3,2,2,1,2,0,2,1,-1,5,140,62,12,1,6,12,2,1,1,7,1,0,2016
"141",1,3,2,1,1,3,3,2,6,2,1,3,3,8,1,2,2,1,1,3,0,1,3,2,0,1,1,-1,7,141,62,16,3,5,12,2,1,2,1,1,0,2016
